fecha,oponente,minutos,pases_buenos,perdidas,recuperaciones,tiros,goles,asistencias,faltas_cometidas,faltas_recibidas,despejes,tarjetas_amarillas,tarjetas_rojas,titular
10/04/2025,Conejito,1,43,0,0,0,0,0,0,0,0,0,0,1
11/10/2025,El Palo,73,4,6,4,0,0,0,2,1,2,0,0,1
18/10/2025,San Andrés,69,13,5,16,0,0,0,0,0,6,0,0,1
26/10/2025,Málaga,57,8,4,10,0,0,0,0,0,1,0,0,1
01/11/2025,Puerto de la Torre,64,8,2,7,0,0,0,0,0,8,0,0,1
08/11/2025,Puerta blanca,80,0,0,0,0,0,0,0,0,0,0,0,1
15/11/2025,Carlinda,0,0,0,0,0,0,0,0,0,0,0,0,1
23/11/2025,Cortijillo Bazán,44,7,2,4,0,0,0,0,0,3,0,0,1
30/11/2025,Romeral,50,9,3,7,1,0,0,0,0,2,0,0,1
07/12/2025,Guadalmar,72,25,7,8,0,0,0,0,1,2,0,0,1
12/12/2025,San Estanislao,45,7,0,4,0,0,0,0,0,6,0,0,1
20/12/2025,Alhaurin de la Torre,80,20,2,0,1,0,0,0,0,0,0,0,1
10/01/2026,Campanillas,52,5,2,0,0,0,0,1,0,4,0,0,1
17/01/2026,Conejito,52,5,2,0,0,0,0,1,0,4,0,0,1
24/01/2026,El Palo,80,7,0,2,0,0,0,0,0,6,0,0,1
01/02/2026,San Andrés,80,12,1,6,0,0,0,0,0,9,0,0,1
14/02/2026,Puerto de la Torre,80,4,4,2,0,0,0,0,0,12,1,0,1
28/02/2026,Málaga,80,11,1,7,0,0,0,0,0,8,0,0,1
07/03/2026,Carlinda,80,11,1,2,1,0,0,0,0,6,0,0,1
